point_id,algorithm,num_observations,num_breaks,break_dates,time_span_years,status
1413318,S-CCD,277,0,,36.421629021218344,no_breaks_detected
1413319,S-CCD,524,0,,36.40246406570842,no_breaks_detected
1413321,S-CCD,340,0,,36.49007529089665,no_breaks_detected
1413327,S-CCD,362,0,,36.577686516084874,no_breaks_detected
1413328,S-CCD,309,0,,36.50924024640657,no_breaks_detected
1413330,S-CCD,393,-1,,0.0,error: S-CCD function fails for pos = 1 
1413332,S-CCD,589,-1,,0.0,error: S-CCD function fails for pos = 1 
1413337,S-CCD,451,0,,36.577686516084874,no_breaks_detected
1413343,S-CCD,561,-1,,0.0,error: S-CCD function fails for pos = 1 
1413345,S-CCD,529,-1,,0.0,error: S-CCD function fails for pos = 1 
1413346,S-CCD,555,0,,36.903490759753595,no_breaks_detected
1413352,S-CCD,307,0,,36.290212183436005,no_breaks_detected
1413353,S-CCD,588,-1,,0.0,error: S-CCD function fails for pos = 1 
1413354,S-CCD,485,0,,36.903490759753595,no_breaks_detected
1413355,S-CCD,587,0,,36.903490759753595,no_breaks_detected
1413357,S-CCD,506,-1,,0.0,error: S-CCD function fails for pos = 1 
1413360,S-CCD,389,0,,36.421629021218344,no_breaks_detected
1413361,S-CCD,541,-1,,0.0,error: S-CCD function fails for pos = 1 
1413363,S-CCD,539,0,,36.59958932238193,no_breaks_detected
1413364,S-CCD,553,-1,,0.0,error: S-CCD function fails for pos = 1 
1413365,S-CCD,529,0,,36.903490759753595,no_breaks_detected
1413368,S-CCD,322,0,,36.290212183436005,no_breaks_detected
1413370,S-CCD,284,0,,36.50924024640657,no_breaks_detected
1413371,S-CCD,567,0,,36.903490759753595,no_breaks_detected
1413372,S-CCD,451,-1,,0.0,error: S-CCD function fails for pos = 1 
1413373,S-CCD,262,-1,,0.0,error: S-CCD function fails for pos = 1 
1413381,S-CCD,380,-1,,0.0,error: S-CCD function fails for pos = 1 
1413382,S-CCD,468,-1,,0.0,error: S-CCD function fails for pos = 1 
1413384,S-CCD,436,0,,36.72826830937714,no_breaks_detected
1413385,S-CCD,566,-1,,0.0,error: S-CCD function fails for pos = 1 
1413387,S-CCD,512,0,,36.903490759753595,no_breaks_detected
1413390,S-CCD,320,-1,,0.0,error: S-CCD function fails for pos = 1 
1413394,S-CCD,508,-1,,0.0,error: S-CCD function fails for pos = 1 
1413395,S-CCD,568,0,,36.903490759753595,no_breaks_detected
1413404,S-CCD,444,-1,,0.0,error: S-CCD function fails for pos = 1 
1413407,S-CCD,538,0,,36.62149212867899,no_breaks_detected
1413410,S-CCD,531,0,,36.46543463381246,no_breaks_detected
1413416,S-CCD,482,0,,36.40246406570842,no_breaks_detected
1413418,S-CCD,599,0,,36.903490759753595,no_breaks_detected
1413423,S-CCD,525,0,,36.53388090349076,no_breaks_detected
1413426,S-CCD,422,-1,,0.0,error: S-CCD function fails for pos = 1 
1413427,S-CCD,561,0,,36.903490759753595,no_breaks_detected
1413431,S-CCD,401,0,,36.421629021218344,no_breaks_detected
1413432,S-CCD,530,-1,,0.0,error: S-CCD function fails for pos = 1 
1413433,S-CCD,402,-1,,0.0,error: S-CCD function fails for pos = 1 
1413435,S-CCD,455,0,,36.72826830937714,no_breaks_detected
1413440,S-CCD,329,0,,36.290212183436005,no_breaks_detected
1413444,S-CCD,529,0,,36.46543463381246,no_breaks_detected
1413446,S-CCD,307,0,,36.290212183436005,no_breaks_detected
1413449,S-CCD,536,-1,,0.0,error: S-CCD function fails for pos = 1 
1413450,S-CCD,490,-1,,0.0,error: S-CCD function fails for pos = 1 
1413451,S-CCD,492,0,,36.903490759753595,no_breaks_detected
1413452,S-CCD,280,0,,36.290212183436005,no_breaks_detected
1413453,S-CCD,494,-1,,0.0,error: S-CCD function fails for pos = 1 
1413454,S-CCD,507,0,,36.53388090349076,no_breaks_detected
1413461,S-CCD,535,0,,36.772073921971256,no_breaks_detected
1413462,S-CCD,555,-1,,0.0,error: S-CCD function fails for pos = 1 
1413464,S-CCD,380,0,,36.35318275154004,no_breaks_detected
1413465,S-CCD,442,0,,36.903490759753595,no_breaks_detected
1413467,S-CCD,474,0,,36.421629021218344,no_breaks_detected
1413472,S-CCD,457,-1,,0.0,error: S-CCD function fails for pos = 1 
1413473,S-CCD,600,0,,36.903490759753595,no_breaks_detected
1413475,S-CCD,531,0,,36.903490759753595,no_breaks_detected
1413477,S-CCD,446,-1,,0.0,error: S-CCD function fails for pos = 1 
1413478,S-CCD,270,0,,36.290212183436005,no_breaks_detected
1413479,S-CCD,435,-1,,0.0,error: S-CCD function fails for pos = 1 
1413480,S-CCD,442,0,,36.903490759753595,no_breaks_detected
1413481,S-CCD,603,0,,36.903490759753595,no_breaks_detected
1413486,S-CCD,284,0,,36.290212183436005,no_breaks_detected
1413488,S-CCD,529,-1,,0.0,error: S-CCD function fails for pos = 1 
1413499,S-CCD,593,-1,,0.0,error: S-CCD function fails for pos = 1 
1413500,S-CCD,502,0,,36.772073921971256,no_breaks_detected
1413502,S-CCD,435,0,,36.421629021218344,no_breaks_detected
1413504,S-CCD,519,-1,,0.0,error: S-CCD function fails for pos = 1 
1413506,S-CCD,306,0,,36.33401779603012,no_breaks_detected
1413507,S-CCD,321,0,,36.290212183436005,no_breaks_detected
1413509,S-CCD,574,-1,,0.0,error: S-CCD function fails for pos = 1 
1413510,S-CCD,270,0,,36.290212183436005,no_breaks_detected
1413512,S-CCD,488,-1,,0.0,error: S-CCD function fails for pos = 1 
1413516,S-CCD,468,-1,,0.0,error: S-CCD function fails for pos = 1 
1413520,S-CCD,525,-1,,0.0,error: S-CCD function fails for pos = 1 
1413521,S-CCD,309,0,,36.290212183436005,no_breaks_detected
1413523,S-CCD,504,-1,,0.0,error: S-CCD function fails for pos = 1 
1413526,S-CCD,548,-1,,0.0,error: S-CCD function fails for pos = 1 
1413527,S-CCD,283,0,,36.50924024640657,no_breaks_detected
1413529,S-CCD,494,-1,,0.0,error: S-CCD function fails for pos = 1 
1413531,S-CCD,493,0,,36.72826830937714,no_breaks_detected
1413532,S-CCD,272,0,,36.50924024640657,no_breaks_detected
1413533,S-CCD,449,0,,36.903490759753595,no_breaks_detected
1413535,S-CCD,573,0,,36.46543463381246,no_breaks_detected
1413540,S-CCD,521,-1,,0.0,error: S-CCD function fails for pos = 1 
1413545,S-CCD,530,0,,36.903490759753595,no_breaks_detected
1413546,S-CCD,516,0,,36.903490759753595,no_breaks_detected
1413547,S-CCD,532,0,,36.46543463381246,no_breaks_detected
1413548,S-CCD,546,0,,36.64065708418891,no_breaks_detected
1413550,S-CCD,419,0,,36.421629021218344,no_breaks_detected
1413552,S-CCD,466,-1,,0.0,error: S-CCD function fails for pos = 1 
1413554,S-CCD,359,0,,36.577686516084874,no_breaks_detected
1413555,S-CCD,528,-1,,0.0,error: S-CCD function fails for pos = 1 
1413556,S-CCD,474,0,,36.903490759753595,no_breaks_detected
1413562,S-CCD,274,-1,,0.0,error: S-CCD function fails for pos = 1 
1413563,S-CCD,339,0,,36.3586584531143,no_breaks_detected
1413569,S-CCD,492,0,,36.72826830937714,no_breaks_detected
1413576,S-CCD,531,-1,,0.0,error: S-CCD function fails for pos = 1 
1413578,S-CCD,541,-1,,0.0,error: S-CCD function fails for pos = 1 
1413579,S-CCD,426,-1,,0.0,error: S-CCD function fails for pos = 1 
1413583,S-CCD,527,-1,,0.0,error: S-CCD function fails for pos = 1 
1413589,S-CCD,437,0,,36.903490759753595,no_breaks_detected
