fid_index,matched_fields,common_name,species,species_simp
157606,common_name;species_simp,Fruit,Unknown,Fruit
157612,common_name;species_simp,"Coconut Palm, Fruit","Cocos nucifera, Unknown",Fruit Mix
157614,species_simp,"Oil Palm, Coconut Palm","Elaeis guineensis, Cocos nucifera",Fruit Mix
157616,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
157621,species_simp,"Oil Palm, Coconut Palm","Elaeis guineensis, Cocos nucifera",Fruit Mix
157624,species_simp,Coconut Palm,Cocos nucifera,Fruit
157625,common_name;species_simp,Fruit,Unknown,Fruit
157626,common_name;species_simp,Fruit,Unknown,Fruit
157629,common_name;species_simp,Fruit,Unknown,Fruit
157633,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
157634,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
157635,common_name;species_simp,Fruit,Unknown,Fruit
157636,species_simp,Coconut Palm,Cocos nucifera,Fruit
157638,species_simp,Coconut Palm,Cocos nucifera,Fruit
157737,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
157738,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
157739,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
157743,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
157807,species_simp,Coconut Palm,Cocos nucifera,Fruit
157808,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
157898,species_simp,Coconut Palm,Cocos nucifera,Fruit
157899,species_simp,Coconut Palm,Cocos nucifera,Fruit
157900,species_simp,Coconut Palm,Cocos nucifera,Fruit
157901,species_simp,Coconut Palm,Cocos nucifera,Fruit
157903,species_simp,Coconut Palm,Cocos nucifera,Fruit
157904,species_simp,Coconut Palm,Cocos nucifera,Fruit
157905,species_simp,Coconut Palm,Cocos nucifera,Fruit
157907,common_name;species_simp,Fruit,Unknown,Fruit
157908,common_name;species_simp,Fruit,Unknown,Fruit
157909,species_simp,Coconut Palm,Cocos nucifera,Fruit
157911,common_name;species_simp,Fruit,Unknown,Fruit
157913,species_simp,Coconut Palm,Cocos nucifera,Fruit
157915,species_simp,Coconut Palm,Cocos nucifera,Fruit
157916,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
157920,common_name;species_simp,Fruit,Unknown,Fruit
157922,species_simp,Coconut Palm,Cocos nucifera,Fruit
157924,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
157925,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
157926,species_simp,Coconut Palm,Cocos nucifera,Fruit
157931,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
157932,species_simp,Coconut Palm,Cocos nucifera,Fruit
157933,species_simp,Coconut Palm,Cocos nucifera,Fruit
157934,species_simp,Coconut Palm,Cocos nucifera,Fruit
157935,species_simp,Coconut Palm,Cocos nucifera,Fruit
157936,species_simp,Coconut Palm,Cocos nucifera,Fruit
157937,species_simp,Coconut Palm,Cocos nucifera,Fruit
157938,species_simp,Coconut Palm,Cocos nucifera,Fruit
157939,species_simp,Coconut Palm,Cocos nucifera,Fruit
157940,species_simp,Coconut Palm,Cocos nucifera,Fruit
157941,species_simp,Coconut Palm,Cocos nucifera,Fruit
157942,species_simp,Coconut Palm,Cocos nucifera,Fruit
157943,species_simp,Coconut Palm,Cocos nucifera,Fruit
157944,species_simp,Coconut Palm,Cocos nucifera,Fruit
157945,species_simp,Coconut Palm,Cocos nucifera,Fruit
157946,species_simp,Coconut Palm,Cocos nucifera,Fruit
157947,species_simp,Coconut Palm,Cocos nucifera,Fruit
157962,species_simp,Coconut Palm,Cocos nucifera,Fruit
157969,species_simp,Coconut Palm,Cocos nucifera,Fruit
157979,species_simp,Coconut Palm,Cocos nucifera,Fruit
157980,species_simp,Coconut Palm,Cocos nucifera,Fruit
157981,species_simp,Coconut Palm,Cocos nucifera,Fruit
157982,species_simp,Coconut Palm,Cocos nucifera,Fruit
157983,species_simp,Coconut Palm,Cocos nucifera,Fruit
157984,species_simp,Coconut Palm,Cocos nucifera,Fruit
157986,species_simp,Coconut Palm,Cocos nucifera,Fruit
157987,species_simp,Coconut Palm,Cocos nucifera,Fruit
157988,species_simp,Coconut Palm,Cocos nucifera,Fruit
157989,species_simp,Coconut Palm,Cocos nucifera,Fruit
157990,species_simp,Coconut Palm,Cocos nucifera,Fruit
157991,species_simp,Coconut Palm,Cocos nucifera,Fruit
157992,species_simp,Coconut Palm,Cocos nucifera,Fruit
157993,species_simp,Coconut Palm,Cocos nucifera,Fruit
157994,species_simp,Coconut Palm,Cocos nucifera,Fruit
157995,species_simp,Coconut Palm,Cocos nucifera,Fruit
157996,species_simp,Coconut Palm,Cocos nucifera,Fruit
157998,common_name;species_simp,Fruit,Unknown,Fruit
157999,species_simp,Coconut Palm,Cocos nucifera,Fruit
158000,species_simp,Coconut Palm,Cocos nucifera,Fruit
158001,species_simp,Coconut Palm,Cocos nucifera,Fruit
158002,species_simp,Coconut Palm,Cocos nucifera,Fruit
158003,species_simp,Coconut Palm,Cocos nucifera,Fruit
158004,species_simp,Coconut Palm,Cocos nucifera,Fruit
158005,species_simp,Coconut Palm,Cocos nucifera,Fruit
158006,species_simp,Coconut Palm,Cocos nucifera,Fruit
158007,species_simp,Coconut Palm,Cocos nucifera,Fruit
158008,species_simp,Coconut Palm,Cocos nucifera,Fruit
158009,common_name;species_simp,Fruit,Unknown,Fruit
158010,species_simp,Coconut Palm,Cocos nucifera,Fruit
158011,species_simp,Coconut Palm,Cocos nucifera,Fruit
158012,species_simp,Coconut Palm,Cocos nucifera,Fruit
158013,species_simp,Coconut Palm,Cocos nucifera,Fruit
158014,species_simp,Coconut Palm,Cocos nucifera,Fruit
158015,species_simp,Coconut Palm,Cocos nucifera,Fruit
158017,species_simp,Coconut Palm,Cocos nucifera,Fruit
158018,species_simp,Coconut Palm,Cocos nucifera,Fruit
158019,species_simp,Coconut Palm,Cocos nucifera,Fruit
158020,species_simp,Coconut Palm,Cocos nucifera,Fruit
158021,species_simp,Coconut Palm,Cocos nucifera,Fruit
158022,species_simp,Coconut Palm,Cocos nucifera,Fruit
158023,common_name;species_simp,Fruit,Unknown,Fruit
158024,species_simp,Coconut Palm,Cocos nucifera,Fruit
158025,common_name;species_simp,Fruit,Unknown,Fruit
158026,species_simp,Coconut Palm,Cocos nucifera,Fruit
158027,species_simp,Coconut Palm,Cocos nucifera,Fruit
158028,species_simp,Coconut Palm,Cocos nucifera,Fruit
158029,common_name;species_simp,Fruit,Unknown,Fruit
158030,common_name;species_simp,Fruit,Unknown,Fruit
158031,species_simp,Coconut Palm,Cocos nucifera,Fruit
158033,species_simp,Coconut Palm,Cocos nucifera,Fruit
158034,common_name;species_simp,Fruit,Unknown,Fruit
158035,common_name;species_simp,Fruit,Unknown,Fruit
158036,species_simp,Coconut Palm,Cocos nucifera,Fruit
158037,common_name;species_simp,Fruit,Unknown,Fruit
158038,common_name;species_simp,Fruit,Unknown,Fruit
158039,common_name;species_simp,Fruit,Unknown,Fruit
158040,common_name;species_simp,Fruit,Unknown,Fruit
158041,species_simp,Coconut Palm,Cocos nucifera,Fruit
158042,common_name;species_simp,Fruit,Unknown,Fruit
158043,species_simp,Coconut Palm,Cocos nucifera,Fruit
158044,common_name;species_simp,Fruit,Unknown,Fruit
158045,common_name;species_simp,Fruit,Unknown,Fruit
158046,species_simp,Coconut Palm,Cocos nucifera,Fruit
158047,common_name;species_simp,Fruit,Unknown,Fruit
158048,species_simp,Coconut Palm,Cocos nucifera,Fruit
158049,common_name;species_simp,Fruit,Unknown,Fruit
158050,species_simp,Coconut Palm,Cocos nucifera,Fruit
158051,species_simp,Coconut Palm,Cocos nucifera,Fruit
158052,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
158053,common_name;species_simp,Fruit,Unknown,Fruit
158054,species_simp,Coconut Palm,Cocos nucifera,Fruit
158055,species_simp,Coconut Palm,Cocos nucifera,Fruit
158056,species_simp,Coconut Palm,Cocos nucifera,Fruit
158057,common_name;species_simp,Fruit,Unknown,Fruit
158058,species_simp,Coconut Palm,Cocos nucifera,Fruit
158059,species_simp,Coconut Palm,Cocos nucifera,Fruit
158061,species_simp,Coconut Palm,Cocos nucifera,Fruit
